Country,ISO3,Economy,General,Governance,Infrastructure,Innovation,Talent,AI_Readiness_Score,Global_Rank
United States,USA,100.0,100.0,86.32408013408374,91.70825008386532,82.74127126230977,75.25773195876288,89.33855557317027,1
Kosovo,KSV,,,85.19099893837532,76.56565320337852,,,80.87832607087691,2
Cabo Verde,CPV,,,77.3726083056925,72.15474849851606,,,74.76367840210428,3
Cyprus,CYP,,,78.9548162350984,83.93378035311932,0.6195165622202328,70.61855670103091,58.53166746286722,4
China,CHN,48.0,53.06122448979592,56.80866270238795,65.85660769775134,77.0,35.81443298969072,56.090154646604326,5
Turkey,TUR,,,81.24770787297881,78.7095086717585,5.894359892569382,48.96907216494846,53.705162150563794,6
North Macedonia,MKD,,,35.532646134213444,79.78717572465158,0.12891674127126232,93.81443298969072,52.31579289745675,7
Vanuatu,VUT,,,40.909809749732815,63.36815108443054,,,52.138980417081676,8
Kazakhstan,KAZ,,,37.091123355283514,89.1576030065414,0.4010743061772605,75.77319587628867,50.60574913607271,9
St. Kitts And Nevis,KNA,,,28.164044046425047,30.487537697298663,,84.5360824742268,47.7292214059835,10
Tonga,TON,,,33.68676510085201,17.439683854395955,,91.75257731958763,47.62634209161187,11
United Kingdom,GBR,25.0,28.57142857142857,79.75667257942746,61.211475469880575,20.407788719785138,59.807560137457045,45.792487579663124,12
Uganda,UGA,,,28.183216565666623,88.97612088131461,0.03939122649955237,56.70103092783505,43.47493990032896,13
Belarus,BLR,,,28.488028245924582,76.2519226347313,0.07878245299910475,68.04123711340205,43.21499261176426,14
Ecuador,ECU,,,30.77088151632943,86.98324134185265,0.6517457475380484,54.12371134020619,43.13239498648158,15
Uzbekistan,UZB,,,44.43056160322232,98.2466020278476,0.08236347358997315,28.350515463917528,42.77751064214436,16
Albania,ALB,,,39.502273025228355,93.24562819850554,0.010743061772605193,38.144329896907216,42.72574354560343,17
Cambodia,KHM,,,28.844600628301055,69.86474343011321,0.01432408236347359,72.16494845360825,42.722154148596495,18
Panama,PAN,,,32.64571923959581,81.13874982015496,0.021486123545210387,48.96907216494845,40.69375683706111,19
Bhutan,BTN,,,29.945935766456046,81.42994443840543,0.0035810205908683975,50.0,40.34486530636309,20
Japan,JPN,13.0,18.367346938775512,59.792917059885326,71.46466229212535,10.367054610564011,68.57388316151203,40.26097734381037,21
Costa Rica,CRI,,,38.809303676089336,81.24911714558927,0.07520143240823635,40.20618556701031,40.084951955274285,22
Moldova,MDA,,,35.45282199865724,83.67300737771613,0.0035810205908683975,,39.70980346565475,23
Marshall Islands,MHL,,,11.195357863533879,9.288273878604167,,97.42268041237114,39.30210405150306,24
Canada,CAN,23.0,24.489795918367346,71.76835609699144,58.47795240977014,12.767681289167413,42.343642611683855,38.807904720996696,25
Angola,AGO,,,59.01393009453769,57.15629858037945,0.007162041181736795,,38.725796905366295,26
Tanzania,TZA,,,31.836447397026305,84.16280331135654,0.053715308863025966,,38.68432200574862,27
Georgia,GEO,,,31.647030539115452,69.53452080019024,0.40465532676812893,53.09278350515464,38.669747542807116,28
Eswatini,SWZ,,,45.46303619806836,68.65487506826628,0.0,,38.03930375544488,29
Saudi Arabia,SAU,21.0,18.367346938775512,63.226767309544776,60.954681002964605,3.2547000895255147,60.78350515463918,37.931166749241605,30
Samoa,WSM,,,34.60543082737398,41.00171397706103,,,37.803572402217505,31
Cote D'Ivoire,CIV,,,23.433272256135172,71.57338828437463,0.007162041181736795,56.18556701030928,37.7998473980002,32
India,IND,14.000000000000002,22.448979591836736,65.67073736310336,56.05301331187736,21.84870188003581,45.271477663230236,37.548818301680576,33
Singapore,SGP,27.0,30.612244897959183,62.35662357544038,72.33118992605971,14.625335720680393,17.560137457044675,37.41425526286405,34
Australia,AUS,11.0,16.3265306122449,57.493615901928614,60.60606060606061,21.184422560429724,57.213058419243985,37.30394801665131,35
Cameroon,CMR,,,13.952661632702766,36.64299977604731,0.05729632945389436,97.93814432989691,37.147775517025224,36
Papua New Guinea,PNG,,,54.44991312286058,56.848302833422416,0.0,,37.099405318761,37
El Salvador,SLV,,,27.04399411670769,83.78984818926676,0.007162041181736795,,36.94700144905207,38
Dominican Republic,DOM,,,47.17354542615768,75.98561164808407,0.01432408236347359,24.226804123711343,36.850071320079145,39
Sweden,SWE,12.0,14.285714285714285,62.0996901521467,55.25888349569672,5.4162936436884515,71.98969072164948,36.84171204981594,40
Paraguay,PRY,,,29.458781542446406,66.99431362244121,0.02506714413607878,48.453608247422686,36.23294263911159,41
Grenada,GRD,,,29.965486428673703,42.43523567137814,,,36.20036105002592,42
Mongolia,MNG,,,35.48625467174187,72.42414655224188,0.021486123545210387,,35.97729578250965,43
Venezuela,VEN,,,33.627143103040694,39.960979472126496,0.10743061772605193,70.10309278350516,35.9496614940996,44
Finland,FIN,13.0,17.346938775510203,59.69692529624906,53.35830480508217,5.497314234556849,65.1168384879725,35.66938693322846,45
Israel,ISR,28.999999999999996,24.489795918367346,41.692069684748155,48.128846718739965,9.332587287376903,59.85910652920963,35.417067689740335,46
Netherlands,NLD,10.0,18.367346938775512,75.88934808964109,67.35438158599467,7.325872873769024,31.378006872852236,35.05249272683876,47
Brunei Darussalam,BRN,,,53.27679949737833,51.48902341849085,0.06087735004476276,,34.942233421971316,48
Liechtenstein,LIE,,,55.11086014769327,49.06494609138953,0.007162041181736795,,34.727656093421515,49
Bahamas,BHS,,,49.826128904664635,53.639100155494624,0.0,,34.488409686719756,50
Andorra,AND,,,38.4692752786971,45.34604057453873,0.0035810205908683975,54.123711340206185,34.48565205350822,51
Norway,NOR,11.0,14.285714285714285,65.63618049354496,55.24597696621609,4.459713518352731,55.182130584192436,34.30161930800342,52
Denmark,DNK,9.0,14.285714285714285,67.55986798262103,58.13424627970289,4.246642793196061,51.7147766323024,34.15687466225611,53
Fiji,FJI,,,55.97423337426378,45.88470571550824,0.053715308863025966,,33.97088479954501,54
Kuwait,KWT,,,34.75361830766763,74.14366162451948,0.17905102954341987,26.804123711340207,33.97011366826768,55
France,FRA,19.0,26.53061224489796,68.11774383658431,57.80948738998866,13.624888093106534,18.29896907216495,33.89695010612374,56
Germany,DEU,17.0,25.510204081632654,76.6176353192074,54.85409473065694,15.074306177260521,13.384879725085911,33.74018667230724,57
Trinidad And Tobago,TTO,,,18.752898678163458,52.66847013749049,0.010743061772605193,62.886597938144334,33.57967745389272,58
South Korea,KOR,14.000000000000002,25.510204081632654,60.121333323603906,70.56557077788614,11.236794986571173,20.0,33.57231719494898,59
Botswana,BWA,,,18.659585548648035,36.03525917050695,0.02506714413607878,77.83505154639175,33.1387408524207,60
Togo,TGO,,,20.97031945519772,78.1956149054076,0.007162041181736795,,33.05769880059569,61
Barbados,BRB,,,13.10243547480682,27.61650918570841,0.0,89.69072164948454,32.602416577499945,62
Italy,ITA,5.0,14.285714285714285,70.18883515630776,57.734664235512994,7.920769919427038,39.697594501718214,32.47126301644672,63
Zambia,ZMB,,,25.159976394680587,72.1847024039272,0.03222918531781558,,32.458969327975204,64
Nepal,NPL,,,23.741492252977327,52.32558117779654,0.07520143240823635,52.577319587628864,32.17989861270274,65
Spain,ESP,7.000000000000001,16.3265306122449,63.85399338143891,60.09421278940009,7.008952551477171,37.96907216494845,32.04212691658491,66
Hong Kong,HKG,15.0,17.346938775510203,37.92307540599357,54.5145982273128,9.523276633840645,54.81786941580756,31.520959743077466,67
Honduras,HND,,,19.941451672534267,66.10669764460523,0.0,39.69072164948453,31.43471774165601,68
Luxembourg,LUX,8.0,15.306122448979592,56.83325412920005,60.35289115152101,4.666517457475381,42.97422680412371,31.355501998549954,69
Monaco,MCO,,,35.98426606281825,57.678929682037705,0.0,,31.221065248285317,70
Ireland,IRL,12.0,14.285714285714285,64.61089774273357,57.64822664078943,3.2591763652641004,31.48109965635739,30.547519115143132,71
Switzerland,CHE,12.0,18.367346938775512,50.47201809477489,60.87469270430007,10.982094897045659,30.0,30.449358772482686,72
Portugal,PRT,7.000000000000001,11.224489795918368,60.31455868781893,57.44905742600734,3.3285586392121758,42.16494845360825,30.246935500427515,73
Cuba,CUB,,,42.75579704124535,46.797916285850434,0.11817367949865712,,29.890629002198143,74
Palestine,PSE,,,38.28882874295682,51.22719686734407,0.14682184422560432,,29.887615818175494,75
Estonia,EST,13.0,10.204081632653061,63.20185370954782,58.916124965768,2.1772605192479855,31.52233676975945,29.836942932829388,76
Montenegro,MNE,,,25.959950176520227,62.60873258309496,0.017905102954341987,,29.52886262085651,77
Malaysia,MYS,4.0,8.16326530612245,50.068931823684544,58.280692130682,3.7811101163831693,52.53608247422681,29.471680308516497,78
Russia,RUS,5.0,10.204081632653061,63.98701749861572,57.37188679655665,4.568934646374217,33.292096219931274,29.070669465688482,79
Taiwan,TWN,5.0,14.285714285714285,43.36322971552143,62.15156361643973,5.58325872873769,41.12371134020618,28.58457961443655,80
Dominica,DMA,,,31.54966203393951,24.987843504034423,,,28.268752768986964,81
