Country,ISO3,Economy,General,Governance,Infrastructure,Innovation,Talent,AI_Readiness_Score,Global_Rank,CountryKey,Region,IsLatAm,IsPeru
United States,USA,100.0,100.0,86.32408013408374,91.70825008386532,82.74127126230977,75.25773195876288,89.33855557317027,1,216,Other Regions,False,False
Kosovo,KSV,,,85.19099893837532,76.56565320337852,,,80.87832607087691,2,108,Other Regions,False,False
Cabo Verde,CPV,,,77.3726083056925,72.15474849851606,,,74.76367840210428,3,32,Other Regions,False,False
Cyprus,CYP,,,78.9548162350984,83.93378035311932,0.6195165622202328,70.61855670103091,58.53166746286722,4,51,Other Regions,False,False
China,CHN,48.0,53.06122448979592,56.80866270238795,65.85660769775134,77.0,35.81443298969072,56.090154646604326,5,40,Other Regions,False,False
Turkey,TUR,,,81.24770787297881,78.7095086717585,5.894359892569382,48.96907216494846,53.705162150563794,6,208,Other Regions,False,False
North Macedonia,MKD,,,35.532646134213444,79.78717572465158,0.1289167412712623,93.81443298969072,52.31579289745675,7,151,Other Regions,False,False
Vanuatu,VUT,,,40.909809749732815,63.36815108443054,,,52.13898041708168,8,221,Other Regions,False,False
Kazakhstan,KAZ,,,37.09112335528352,89.1576030065414,0.4010743061772605,75.77319587628867,50.60574913607271,9,105,Other Regions,False,False
St. Kitts And Nevis,KNA,,,28.164044046425047,30.487537697298663,,84.5360824742268,47.7292214059835,10,190,Other Regions,False,False
Tonga,TON,,,33.68676510085201,17.439683854395955,,91.75257731958764,47.62634209161187,11,205,Other Regions,False,False
United Kingdom,GBR,25.0,28.57142857142857,79.75667257942746,61.211475469880575,20.407788719785135,59.807560137457045,45.79248757966312,12,215,Other Regions,False,False
Uganda,UGA,,,28.183216565666623,88.97612088131461,0.0393912264995523,56.70103092783505,43.47493990032896,13,212,Other Regions,False,False
Belarus,BLR,,,28.488028245924585,76.2519226347313,0.0787824529991047,68.04123711340205,43.21499261176426,14,17,Other Regions,False,False
Ecuador,ECU,,,30.77088151632943,86.98324134185265,0.6517457475380484,54.12371134020619,43.13239498648158,15,58,Latin America & Caribbean,True,False
Uzbekistan,UZB,,,44.43056160322232,98.2466020278476,0.0823634735899731,28.350515463917528,42.77751064214436,16,220,Other Regions,False,False
Albania,ALB,,,39.50227302522836,93.24562819850554,0.0107430617726051,38.144329896907216,42.72574354560343,17,2,Other Regions,False,False
Cambodia,KHM,,,28.844600628301052,69.86474343011321,0.0143240823634735,72.16494845360825,42.722154148596495,18,33,Other Regions,False,False
Panama,PAN,,,32.64571923959581,81.13874982015496,0.0214861235452103,48.96907216494845,40.69375683706111,19,158,Latin America & Caribbean,True,False
Bhutan,BTN,,,29.94593576645605,81.42994443840543,0.0035810205908683,50.0,40.34486530636309,20,22,Other Regions,False,False
Japan,JPN,13.0,18.367346938775512,59.792917059885326,71.46466229212535,10.367054610564011,68.57388316151203,40.26097734381037,21,102,Other Regions,False,False
Costa Rica,CRI,,,38.809303676089336,81.24911714558927,0.0752014324082363,40.20618556701031,40.084951955274285,22,46,Latin America & Caribbean,True,False
Moldova,MDA,,,35.45282199865724,83.67300737771613,0.0035810205908683,,39.70980346565475,23,133,Other Regions,False,False
Marshall Islands,MHL,,,11.19535786353388,9.288273878604167,,97.42268041237114,39.30210405150306,24,127,Other Regions,False,False
Canada,CAN,23.0,24.489795918367346,71.76835609699144,58.47795240977014,12.767681289167411,42.343642611683855,38.807904720996696,25,35,Other Regions,False,False
Angola,AGO,,,59.01393009453769,57.15629858037945,0.0071620411817367,,38.725796905366295,26,5,Other Regions,False,False
Tanzania,TZA,,,31.836447397026305,84.16280331135654,0.0537153088630259,,38.68432200574862,27,201,Other Regions,False,False
Georgia,GEO,,,31.64703053911545,69.53452080019024,0.4046553267681289,53.09278350515464,38.66974754280712,28,75,Other Regions,False,False
Eswatini,SWZ,,,45.46303619806836,68.65487506826628,0.0,,38.03930375544488,29,64,Other Regions,False,False
Saudi Arabia,SAU,21.0,18.367346938775512,63.226767309544776,60.954681002964605,3.2547000895255147,60.78350515463918,37.931166749241605,30,174,Other Regions,False,False
Samoa,WSM,,,34.60543082737398,41.00171397706103,,,37.80357240221751,31,172,Other Regions,False,False
Cote D'Ivoire,CIV,,,23.43327225613517,71.57338828437463,0.0071620411817367,56.18556701030928,37.7998473980002,32,47,Other Regions,False,False
India,IND,14.000000000000002,22.448979591836736,65.67073736310336,56.05301331187736,21.84870188003581,45.27147766323024,37.548818301680576,33,93,Other Regions,False,False
Singapore,SGP,27.0,30.612244897959183,62.35662357544038,72.33118992605971,14.625335720680392,17.560137457044675,37.41425526286405,34,179,Other Regions,False,False
Australia,AUS,11.0,16.3265306122449,57.49361590192861,60.60606060606061,21.184422560429724,57.21305841924399,37.30394801665131,35,10,Other Regions,False,False
Cameroon,CMR,,,13.952661632702766,36.64299977604731,0.0572963294538943,97.93814432989691,37.14777551702522,36,34,Other Regions,False,False
Papua New Guinea,PNG,,,54.44991312286058,56.848302833422416,0.0,,37.099405318761,37,159,Other Regions,False,False
El Salvador,SLV,,,27.04399411670769,83.78984818926676,0.0071620411817367,,36.94700144905207,38,60,Latin America & Caribbean,True,False
Dominican Republic,DOM,,,47.17354542615768,75.98561164808407,0.0143240823634735,24.226804123711343,36.850071320079145,39,56,Latin America & Caribbean,True,False
Sweden,SWE,12.0,14.285714285714285,62.0996901521467,55.25888349569672,5.416293643688452,71.98969072164948,36.84171204981594,40,195,Other Regions,False,False
Paraguay,PRY,,,29.45878154244641,66.99431362244121,0.0250671441360787,48.453608247422686,36.23294263911159,41,160,Latin America & Caribbean,True,False
Grenada,GRD,,,29.965486428673703,42.43523567137814,,,36.20036105002592,42,81,Other Regions,False,False
Mongolia,MNG,,,35.48625467174187,72.42414655224188,0.0214861235452103,,35.97729578250965,43,135,Other Regions,False,False
Venezuela,VEN,,,33.627143103040694,39.960979472126496,0.1074306177260519,70.10309278350516,35.9496614940996,44,223,Latin America & Caribbean,True,False
Finland,FIN,13.0,17.346938775510203,59.69692529624906,53.35830480508217,5.497314234556849,65.1168384879725,35.66938693322846,45,68,Other Regions,False,False
Israel,ISR,29.0,24.489795918367346,41.69206968474816,48.128846718739965,9.332587287376905,59.85910652920963,35.417067689740335,46,99,Other Regions,False,False
Netherlands,NLD,10.0,18.367346938775512,75.88934808964109,67.35438158599467,7.325872873769024,31.37800687285224,35.05249272683876,47,144,Other Regions,False,False
Brunei Darussalam,BRN,,,53.27679949737833,51.48902341849085,0.0608773500447627,,34.94223342197132,48,28,Other Regions,False,False
Liechtenstein,LIE,,,55.11086014769327,49.06494609138953,0.0071620411817367,,34.727656093421515,49,117,Other Regions,False,False
Bahamas,BHS,,,49.82612890466464,53.639100155494624,0.0,,34.48840968671976,50,13,Latin America & Caribbean,True,False
Andorra,AND,,,38.4692752786971,45.34604057453873,0.0035810205908683,54.123711340206185,34.48565205350822,51,4,Other Regions,False,False
Norway,NOR,11.0,14.285714285714285,65.63618049354496,55.24597696621609,4.459713518352731,55.18213058419244,34.30161930800342,52,153,Other Regions,False,False
Denmark,DNK,9.0,14.285714285714285,67.55986798262103,58.13424627970289,4.246642793196061,51.7147766323024,34.15687466225611,53,53,Other Regions,False,False
Fiji,FJI,,,55.97423337426378,45.88470571550824,0.0537153088630259,,33.97088479954501,54,67,Other Regions,False,False
Kuwait,KWT,,,34.75361830766763,74.14366162451948,0.1790510295434198,26.804123711340207,33.97011366826768,55,109,Other Regions,False,False
France,FRA,19.0,26.53061224489796,68.11774383658431,57.80948738998866,13.624888093106534,18.29896907216495,33.89695010612374,56,69,Other Regions,False,False
Germany,DEU,17.0,25.51020408163265,76.6176353192074,54.85409473065694,15.07430617726052,13.384879725085913,33.74018667230724,57,76,Other Regions,False,False
Trinidad And Tobago,TTO,,,18.752898678163454,52.66847013749049,0.0107430617726051,62.886597938144334,33.57967745389272,58,206,Latin America & Caribbean,True,False
South Korea,KOR,14.000000000000002,25.51020408163265,60.12133332360391,70.56557077788614,11.236794986571171,20.0,33.57231719494898,59,186,Other Regions,False,False
Botswana,BWA,,,18.659585548648035,36.03525917050695,0.0250671441360787,77.83505154639175,33.1387408524207,60,25,Other Regions,False,False
Togo,TGO,,,20.97031945519772,78.1956149054076,0.0071620411817367,,33.05769880059569,61,204,Other Regions,False,False
Barbados,BRB,,,13.10243547480682,27.61650918570841,0.0,89.69072164948454,32.602416577499945,62,16,Latin America & Caribbean,True,False
Italy,ITA,5.0,14.285714285714285,70.18883515630776,57.734664235512994,7.920769919427038,39.69759450171821,32.47126301644672,63,100,Other Regions,False,False
Zambia,ZMB,,,25.159976394680587,72.1847024039272,0.0322291853178155,,32.458969327975204,64,226,Other Regions,False,False
Nepal,NPL,,,23.741492252977327,52.32558117779654,0.0752014324082363,52.577319587628864,32.17989861270274,65,143,Other Regions,False,False
Spain,ESP,7.000000000000001,16.3265306122449,63.85399338143891,60.09421278940009,7.008952551477171,37.96907216494845,32.04212691658491,66,188,Other Regions,False,False
Hong Kong,HKG,15.0,17.346938775510203,37.92307540599357,54.5145982273128,9.523276633840643,54.81786941580756,31.520959743077466,67,90,Other Regions,False,False
Honduras,HND,,,19.941451672534267,66.10669764460523,0.0,39.69072164948453,31.43471774165601,68,89,Latin America & Caribbean,True,False
Luxembourg,LUX,8.0,15.306122448979592,56.83325412920005,60.35289115152101,4.666517457475381,42.97422680412371,31.355501998549958,69,119,Other Regions,False,False
Monaco,MCO,,,35.98426606281825,57.678929682037705,0.0,,31.22106524828532,70,134,Other Regions,False,False
Ireland,IRL,12.0,14.285714285714285,64.61089774273357,57.64822664078943,3.2591763652641004,31.48109965635739,30.54751911514313,71,97,Other Regions,False,False
Switzerland,CHE,12.0,18.367346938775512,50.47201809477489,60.87469270430007,10.98209489704566,30.0,30.44935877248269,72,196,Other Regions,False,False
Portugal,PRT,7.000000000000001,11.224489795918368,60.31455868781893,57.44905742600734,3.328558639212176,42.16494845360825,30.246935500427515,73,165,Other Regions,False,False
Cuba,CUB,,,42.75579704124535,46.797916285850434,0.1181736794986571,,29.890629002198143,74,49,Latin America & Caribbean,True,False
Palestine,PSE,,,38.28882874295682,51.22719686734407,0.1468218442256043,,29.88761581817549,75,157,Other Regions,False,False
Estonia,EST,13.0,10.20408163265306,63.20185370954782,58.916124965768,2.177260519247985,31.52233676975945,29.836942932829388,76,63,Other Regions,False,False
