CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
1,Afghanistan,AFG,Other Regions,False,False,,3.9817160351327727,0.5272149285325232,0.0035810205908683975,,3,Low coverage,1.5041706614187216,,
2,Albania,ALB,Other Regions,False,False,,39.502273025228355,93.24562819850553,0.010743061772605193,38.14432989690721,4,Comparable partial,42.72574354560343,42.72574354560343,13.0
3,Algeria,DZA,Other Regions,False,False,0.0,19.314128291799044,36.23242731949402,1.2126230975828112,35.37457044673539,5,Full coverage,18.426749831122255,18.426749831122255,111.0
4,Andorra,AND,Other Regions,False,False,,38.4692752786971,45.34604057453873,0.0035810205908683975,54.123711340206185,4,Comparable partial,34.48565205350822,34.48565205350822,41.0
5,Angola,AGO,Other Regions,False,False,,59.0139300945377,57.15629858037945,0.007162041181736795,,3,Low coverage,38.7257969053663,,
7,Antigua and Barbuda,ATG,Other Regions,False,False,,18.575816632017347,17.55886335312735,,,2,Low coverage,18.06733999257235,,
8,Argentina,ARG,Latin America & Caribbean,True,False,2.0,43.240371382028194,42.1748603200419,0.7309758281110116,39.79037800687286,5,Full coverage,25.58731710741079,25.58731710741079,83.0
9,Armenia,ARM,Other Regions,False,False,6.000000000000001,23.147485601462822,43.82025441095253,0.01253357206803939,44.24742268041237,5,Full coverage,23.445539252979152,23.445539252979152,91.0
10,Australia,AUS,Other Regions,False,False,11.0,57.49361590192862,60.6060606060606,21.184422560429724,57.21305841924398,5,Full coverage,41.499431497532576,41.499431497532576,17.0
11,Austria,AUT,Other Regions,False,False,6.000000000000001,53.314570604477765,57.321084463476275,5.482990152193375,34.81958762886598,5,Full coverage,31.387646569802683,31.387646569802683,56.0
12,Azerbaijan,AZE,Other Regions,False,False,0.0,28.085039450169653,47.37484376648331,0.1450313339301701,35.70790378006872,5,Full coverage,22.262563666130372,22.262563666130372,96.0
13,Bahamas,BHS,Latin America & Caribbean,True,False,,49.826128904664635,53.639100155494624,0.0,,3,Low coverage,34.488409686719756,,
14,Bahrain,BHR,Other Regions,False,False,7.000000000000002,30.577287591465144,55.72798918196448,1.0376007162041183,2.0,5,Full coverage,19.26857549792675,19.26857549792675,107.0
15,Bangladesh,BGD,Other Regions,False,False,0.0,44.54076205107395,49.72914676313948,1.3809310653536258,47.40206185567009,5,Full coverage,28.61058034704743,28.61058034704743,67.0
16,Barbados,BRB,Latin America & Caribbean,True,False,,13.102435474806818,27.61650918570841,0.0,89.69072164948453,4,Comparable partial,32.60241657749994,32.60241657749994,52.0
17,Belarus,BLR,Other Regions,False,False,,28.488028245924575,76.2519226347313,0.07878245299910475,68.04123711340206,4,Comparable partial,43.21499261176426,43.21499261176426,10.0
18,Belgium,BEL,Other Regions,False,False,9.0,46.9990567209512,51.69080402555285,4.068934646374217,44.16494845360824,5,Full coverage,31.1847487692973,31.1847487692973,57.0
19,Belize,BLZ,Latin America & Caribbean,True,False,,13.400038675854006,46.751348346707196,0.0,,3,Low coverage,20.050462340853734,,
20,Benin,BEN,Other Regions,False,False,1.0,37.28472192645354,38.23935353387189,0.0035810205908683975,0.0,5,Full coverage,15.305531296183261,15.305531296183261,116.0
21,Bermuda,BMU,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
22,Bhutan,BTN,Other Regions,False,False,,29.945935766456042,81.42994443840543,0.0035810205908683975,50.0,4,Comparable partial,40.34486530636309,40.34486530636309,21.0
23,Bolivia,BOL,Latin America & Caribbean,True,False,,19.88733646089202,58.774464304991746,0.010743061772605193,23.195876288659793,4,Comparable partial,25.46710502907904,25.46710502907904,84.0
24,Bosnia And Herzegovina,BIH,Other Regions,False,False,,42.791944624161346,31.461816067304795,0.16472694717994626,,3,Low coverage,24.80616254621536,,
25,Botswana,BWA,Other Regions,False,False,,18.659585548648035,36.03525917050695,0.02506714413607878,77.83505154639175,4,Comparable partial,33.1387408524207,33.1387408524207,49.0
26,Brazil,BRA,Latin America & Caribbean,True,False,7.000000000000002,55.9247834872248,60.07025801820033,4.622649955237243,14.309278350515466,5,Full coverage,28.385393962235565,28.385393962235565,69.0
28,Brunei Darussalam,BRN,Other Regions,False,False,,53.27679949737833,51.48902341849085,0.06087735004476276,,3,Low coverage,34.942233421971316,,
29,Bulgaria,BGR,Other Regions,False,False,1.0,38.9714200939806,41.617223748662084,1.2381378692927485,34.989690721649474,5,Full coverage,23.563294486716977,23.563294486716977,90.0
30,Burkina Faso,BFA,Other Regions,False,False,,15.565385660729753,52.70240916585763,0.0035810205908683975,,3,Low coverage,22.757125282392753,,
31,Burundi,BDI,Other Regions,False,False,,14.1714893455521,36.02390250555718,0.0035810205908683975,0.5154639175257731,4,Comparable partial,12.67860919730648,12.67860919730648,119.0
32,Cabo Verde,CPV,Other Regions,False,False,,77.3726083056925,72.15474849851606,,,2,Low coverage,74.76367840210428,,
33,Cambodia,KHM,Other Regions,False,False,,28.844600628301052,69.86474343011321,0.01432408236347359,72.16494845360825,4,Comparable partial,42.722154148596495,42.722154148596495,14.0
34,Cameroon,CMR,Other Regions,False,False,,13.952661632702766,36.64299977604731,0.05729632945389436,97.93814432989691,4,Comparable partial,37.147775517025224,37.147775517025224,31.0
35,Canada,CAN,Other Regions,False,False,23.0,71.76835609699145,58.47795240977014,12.767681289167413,42.34364261168385,5,Full coverage,41.67152648152256,41.67152648152256,16.0
36,Cayman Islands,CYM,Other Regions,False,False,,,,0.0,,1,Low coverage,0.0,,
37,Central African Republic,CAF,Other Regions,False,False,,6.204839868122084,15.609876294673825,0.0,,3,Low coverage,7.271572054265303,,
38,Chad,TCD,Other Regions,False,False,,5.02557032686812,13.73849623162657,0.0,,3,Low coverage,6.254688852831563,,
39,Chile,CHL,Latin America & Caribbean,True,False,6.000000000000001,51.05592375927071,58.37329752857119,0.8706356311548792,16.78694158075601,5,Full coverage,26.617359699950562,26.617359699950562,77.0
40,China,CHN,Other Regions,False,False,48.00000000000001,56.80866270238795,65.85660769775134,77.0,35.81443298969072,5,Full coverage,56.69594067796601,56.69594067796601,3.0
42,Cocos (Keeling) Islands,CCK,Other Regions,False,False,,,,,3.608247422680412,1,Low coverage,3.608247422680412,,
