CountryKey,Country,ISO3,Region,IsLatAm,IsPeru
1,Afghanistan,AFG,Other Regions,False,False
2,Albania,ALB,Other Regions,False,False
3,Algeria,DZA,Other Regions,False,False
4,Andorra,AND,Other Regions,False,False
5,Angola,AGO,Other Regions,False,False
6,Anguilla,AIA,Other Regions,False,False
7,Antigua and Barbuda,ATG,Other Regions,False,False
8,Argentina,ARG,Latin America & Caribbean,True,False
9,Armenia,ARM,Other Regions,False,False
10,Australia,AUS,Other Regions,False,False
11,Austria,AUT,Other Regions,False,False
12,Azerbaijan,AZE,Other Regions,False,False
13,Bahamas,BHS,Latin America & Caribbean,True,False
14,Bahrain,BHR,Other Regions,False,False
15,Bangladesh,BGD,Other Regions,False,False
16,Barbados,BRB,Latin America & Caribbean,True,False
17,Belarus,BLR,Other Regions,False,False
18,Belgium,BEL,Other Regions,False,False
19,Belize,BLZ,Latin America & Caribbean,True,False
20,Benin,BEN,Other Regions,False,False
21,Bermuda,BMU,Other Regions,False,False
22,Bhutan,BTN,Other Regions,False,False
23,Bolivia,BOL,Latin America & Caribbean,True,False
24,Bosnia And Herzegovina,BIH,Other Regions,False,False
25,Botswana,BWA,Other Regions,False,False
26,Brazil,BRA,Latin America & Caribbean,True,False
27,British Virgin Islands,VGB,Other Regions,False,False
28,Brunei Darussalam,BRN,Other Regions,False,False
29,Bulgaria,BGR,Other Regions,False,False
30,Burkina Faso,BFA,Other Regions,False,False
31,Burundi,BDI,Other Regions,False,False
32,Cabo Verde,CPV,Other Regions,False,False
33,Cambodia,KHM,Other Regions,False,False
34,Cameroon,CMR,Other Regions,False,False
35,Canada,CAN,Other Regions,False,False
36,Cayman Islands,CYM,Other Regions,False,False
37,Central African Republic,CAF,Other Regions,False,False
38,Chad,TCD,Other Regions,False,False
39,Chile,CHL,Latin America & Caribbean,True,False
40,China,CHN,Other Regions,False,False
41,Christmas Island,CXR,Other Regions,False,False
42,Cocos (Keeling) Islands,CCK,Other Regions,False,False
43,Colombia,COL,Latin America & Caribbean,True,False
44,Comoros,COM,Other Regions,False,False
45,Congo Republic,COG,Other Regions,False,False
46,Costa Rica,CRI,Latin America & Caribbean,True,False
47,Cote D'Ivoire,CIV,Other Regions,False,False
48,Croatia,HRV,Other Regions,False,False
49,Cuba,CUB,Latin America & Caribbean,True,False
50,Curacao,CUW,Other Regions,False,False
51,Cyprus,CYP,Other Regions,False,False
52,Czechia,CZE,Other Regions,False,False
53,Denmark,DNK,Other Regions,False,False
54,Djibouti,DJI,Other Regions,False,False
55,Dominica,DMA,Other Regions,False,False
56,Dominican Republic,DOM,Latin America & Caribbean,True,False
57,Dr Congo,COD,Other Regions,False,False
58,Ecuador,ECU,Latin America & Caribbean,True,False
59,Egypt,EGY,Other Regions,False,False
60,El Salvador,SLV,Latin America & Caribbean,True,False
61,Equatorial Guinea,GNQ,Other Regions,False,False
62,Eritrea,ERI,Other Regions,False,False
63,Estonia,EST,Other Regions,False,False
64,Eswatini,SWZ,Other Regions,False,False
65,Ethiopia,ETH,Other Regions,False,False
66,Faroe Islands,FRO,Other Regions,False,False
67,Fiji,FJI,Other Regions,False,False
68,Finland,FIN,Other Regions,False,False
69,France,FRA,Other Regions,False,False
70,French Guiana,GUF,Other Regions,False,False
71,French Polynesia,PYF,Other Regions,False,False
72,French Southern Territories,ATF,Other Regions,False,False
73,Gabon,GAB,Other Regions,False,False
74,Gambia,GMB,Other Regions,False,False
75,Georgia,GEO,Other Regions,False,False
76,Germany,DEU,Other Regions,False,False
77,Ghana,GHA,Other Regions,False,False
78,Gibraltar,GIB,Other Regions,False,False
79,Greece,GRC,Other Regions,False,False
80,Greenland,GRL,Other Regions,False,False
81,Grenada,GRD,Other Regions,False,False
82,Guadeloupe,GLP,Other Regions,False,False
83,Guam,GUM,Other Regions,False,False
84,Guatemala,GTM,Latin America & Caribbean,True,False
85,Guinea,GIN,Other Regions,False,False
86,Guinea-Bissau,GNB,Other Regions,False,False
87,Guyana,GUY,Latin America & Caribbean,True,False
88,Haiti,HTI,Latin America & Caribbean,True,False
89,Honduras,HND,Latin America & Caribbean,True,False
90,Hong Kong,HKG,Other Regions,False,False
91,Hungary,HUN,Other Regions,False,False
