MetricKey,Metric,Source_Category
1,% Agreeing With Statement: I Have A Good Understanding Of What Artificial Intelligence Is,Public Opinion
2,% Agreeing With Statement: I Know Which Types Of Products And Services Use Artificial Intelligence,Public Opinion
3,% Agreeing With Statement: I Trust Artificial Intelligence To Not Discriminate Or Show Bias Towards Any Group Of People,Public Opinion
4,% Agreeing With Statement: I Trust Companies That Use Artificial Intelligence As Much As I Trust Other Companies,Public Opinion
5,% Agreeing With Statement: I Trust That Companies That Use Artificial Intelligence Will Protect My Personal Data,Public Opinion
6,% Agreeing With Statement: Products And Services Using Artificial Intelligence Have More Benefits Than Drawbacks,Public Opinion
7,% Agreeing With Statement: Products And Services Using Artificial Intelligence Have Profoundly Changed My Daily Life In The Past 3-5 Years,Public Opinion
8,% Agreeing With Statement: Products And Services Using Artificial Intelligence Make Me Excited,Public Opinion
9,% Agreeing With Statement: Products And Services Using Artificial Intelligence Make Me Nervous,Public Opinion
10,% Agreeing With Statement: Products And Services Using Artificial Intelligence Make My Life Easier,Public Opinion
11,% Agreeing With Statement: Products And Services Using Artificial Intelligence Will Profoundly Change My Daily Life In The Next 3-5 Years,Public Opinion
12,"% Change Of New Informatics, CS, CE, And IT Bachelor's Graduate",Education
13,"% Change Of New Informatics, CS, CE, And IT Bachelor's Graduate (Per 100,000 Inhabitants)",Education
14,"% Change Of New Informatics, CS, CE, And IT Master's Graduate",Education
15,"% Change Of New Informatics, CS, CE, And IT Master's Graduate (Per 100,000 Inhabitants)",Education
16,"% Change Of New Informatics, CS, CE, And IT PhD Graduate",Education
17,"% Change Of New Informatics, CS, CE, And IT PhD Graduate (Per 100,000 Inhabitants)",Education
18,% Point Change 2022-23 of Statement: I Have A Good Understanding Of What Artificial Intelligence Is,Public Opinion
19,% Point Change 2022-23 of Statement: I Know Which Types Of Products And Services Use Artificial Intelligence,Public Opinion
20,% Point Change 2022-23 of Statement: I Trust Companies That Use Artificial Intelligence As Much As I Trust Other Companies,Public Opinion
21,% Point Change 2022-23 of Statement: Products And Services Using Artificial Intelligence Have More Benefits Than Drawbacks,Public Opinion
22,% Point Change 2022-23 of Statement: Products And Services Using Artificial Intelligence Have Profoundly Changed My Daily Life In The Past 3-5 Years,Public Opinion
23,% Point Change 2022-23 of Statement: Products And Services Using Artificial Intelligence Make Me Nervous,Public Opinion
24,% Point Change 2022-23 of Statement: Products And Services Using Artificial Intelligence Will Profoundly Change My Daily Life In The Next 3-5 Years,Public Opinion
25,% Point Change 2022-24 of Statement: I Have A Good Understanding Of What Artificial Intelligence Is,Public Opinion
26,% Point Change 2022-24 of Statement: I Know Which Types Of Products And Services Use Artificial Intelligence,Public Opinion
27,% Point Change 2022-24 of Statement: Products And Services Using Artificial Intelligence Have Profoundly Changed My Daily Life In The Past 3-5 Years,Public Opinion
28,% Point Change 2022-24 of Statement: Products And Services Using Artificial Intelligence Make Me Nervous,Public Opinion
29,% Point Change 2022-24 of Statement: Products And Services Using Artificial Intelligence Will Profoundly Change My Daily Life In The Next 3-5 Years,Public Opinion
30,% Point Change 2023-24 of Statement: I Have A Good Understanding Of What Artificial Intelligence Is,Public Opinion
31,% Point Change 2023-24 of Statement: I Know Which Types Of Products And Services Use Artificial Intelligence,Public Opinion
32,% Point Change 2023-24 of Statement: I Trust Artificial Intelligence To Not Discriminate Or Show Bias Toward Any Group Of People,Public Opinion
