SourceKey,Source,Dataset,Source_File,Source_Type,Source_Year
1,Coursera - Global Skills Report,Coursera - Global & Job Skills Reports,coursera_panel_aggregator.py,csv,2026
2,Epoch AI,Epoch AI - AI Chip Sales,epoch_chip_sales_ingestion.py,csv,2026
3,Epoch AI,Epoch AI - Benchmarks,epoch_benchmark_aggregator.py,csv,2026
4,Epoch AI,Epoch AI - Frontier Data Centers,epoch_infrastructure_aggregator.py,csv,2026
5,Epoch AI,Epoch AI - AI Company Reports,epoch_ai_companies_aggregator.py,csv,2026
6,Epoch AI,Epoch AI - ML Hardware,epoch_ml_hardware_aggregator.py,csv,2026
7,Epoch AI,Epoch AI - GPU Clusters,epoch_gpu_clusters_aggregator.py,csv,2026
8,Epoch AI,Epoch AI - AI Usage Polling,epoch_polling_aggregator.py,csv,2026
9,Epoch AI,Epoch AI - AI Model Database,epoch_models_master_aggregator.py,csv,2026
10,Global Index on Responsible AI,GIRAI 2024 Index,girai_ai_index_data_long.csv,csv,2024
11,IEA's Energy and AI Observatory,IEA Energy and AI Observatory,https://iea.blob.core.windows.net/assets/601eaec9-ba91-4623-819b-4ded331ec9e8/EnergyandAI.pdf,csv,2025
12,MacroPolo Global AI Talent Tracker,MacroPolo Global AI Talent Tracker,macropolo_scraper.py,csv,2024
13,OECD.ai,OECD.ai,oecd_ai_index_data_long.csv,csv,2024
14,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.14.csv,csv,2024
15,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.16.csv,csv,2024
16,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.5.7.csv,csv,2024
17,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.3.18.csv,csv,2024
18,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.5.4.csv,csv,2024
19,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.3.2.csv,csv,2024
20,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.1.5.csv,csv,2024
21,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.25.csv,csv,2024
22,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.17.csv,csv,2024
23,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2024_Data_fig_7.2.10.csv,csv,2024
24,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.2.1.csv,csv,2025
25,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2025_Data_fig_6.2.8.csv,csv,2025
26,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.10.csv,csv,2025
27,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.5.9.csv,csv,2024
28,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.21.csv,csv,2024
29,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.17.csv,csv,2024
30,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.27.csv,csv,2024
31,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.19.csv,csv,2024
32,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.12.csv,csv,2024
33,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.13.csv,csv,2024
34,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.2.7.csv,csv,2024
35,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.15.csv,csv,2024
36,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.8.csv,csv,2024
37,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.9.csv,csv,2024
38,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.18.csv,csv,2024
39,Stanford AI Index,Stanford AI Index - Education,6. Education-2024_Data_fig_6.1.20.csv,csv,2024
